ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,18,28
1,6,6,3,18,46
9,4,4,1,17,39
3,4,1,2,53,64
8,2,1,3,45,63
2,1,1,5,57,89
4,1,1,5,50,82
7,3,3,5,65,77
5,1,5,6,82,92
6,4,5,6,78,88
10,1,5,6,6,14
12,1,5,6,1,9
11,3,6,1,14,34
13,4,1,6,31,61
14,6,5,6,46,58
16,5,4,2,9,22
15,3,2,6,23,40
17,2,5,1,6,29
22,3,3,1,7,19
19,6,1,4,27,55
20,4,1,6,24,64
24,6,1,2,77,88
23,2,1,3,80,102
21,4,2,3,96,106
25,1,1,5,74,109
18,3,3,5,113,125
26,3,2,4,12,25
29,4,2,6,4,33
30,6,4,6,16,31
27,6,1,3,57,70
28,6,1,2,81,91
31,2,5,6,12,22
32,3,5,6,8,18
36,1,6,2,13,43
35,4,6,1,14,55
37,5,6,1,12,53
40,3,1,6,49,77
33,6,3,6,72,89
41,2,6,1,74,112
34,6,4,1,98,125
39,4,3,1,127,147
38,5,2,1,138,149
42,4,6,3,18,35
43,3,6,1,17,45
45,3,1,6,42,70
44,5,5,6,60,71
47,4,1,2,18,28
46,2,2,5,29,43
50,1,1,6,14,48
48,2,5,6,42,50
49,3,2,1,67,75
51,6,1,2,3,13
56,2,2,5,1,23
53,5,4,5,22,33
54,2,5,6,30,38
52,5,4,1,54,76
55,2,3,1,55,68
57,5,1,5,64,83
58,6,1,6,15,43
66,2,3,6,7,23
60,4,6,2,37,67
59,1,6,1,41,83
62,2,6,1,35,77
65,5,2,1,58,69
63,5,1,6,77,99
61,4,3,1,119,132
68,5,1,4,3,25
69,2,3,5,15,32
67,3,1,6,3,41
75,5,6,5,25,36
76,4,4,3,40,51
72,2,6,2,33,72
71,2,4,2,52,72
73,1,4,1,51,79
70,3,1,2,85,93
74,2,3,6,92,106
78,1,1,4,15,32
77,4,1,6,18,48
79,5,1,6,15,45
81,5,4,2,48,61
80,3,1,2,73,81
82,4,1,4,6,22
83,1,6,2,31,61
85,3,4,2,43,56
84,4,5,1,35,67
86,2,4,1,41,64
87,5,2,1,69,79
88,3,1,2,3,15
91,4,1,2,2,14
90,2,1,4,2,31
89,6,3,5,23,41
92,2,4,1,46,60
93,4,3,6,9,25
95,3,6,5,18,26
94,6,1,4,47,63
96,5,1,2,73,83
97,6,1,4,91,107
99,1,1,2,118,128
98,6,1,5,121,146
100,5,1,2,156,166
101,2,1,2,6,14
102,1,1,3,5,21
103,2,6,1,33,53
104,4,1,2,3,13
105,2,1,4,2,23
111,6,4,6,12,31
110,3,5,6,22,32
108,6,6,2,39,58
106,3,1,3,67,80
107,5,1,5,66,91
109,4,1,2,106,116
113,3,1,4,3,19
112,4,1,6,6,37
114,5,4,6,20,34
116,4,1,2,47,58
115,4,1,5,51,77
117,6,5,6,3,13
121,4,3,1,20,40
122,3,2,1,27,38
126,1,2,1,20,31
119,2,1,2,46,56
123,3,2,3,50,58
118,5,1,4,46,74
125,4,4,6,63,76
124,1,1,3,98,111
120,6,1,5,104,129
127,2,1,6,94,127
131,4,1,2,11,22
132,3,1,4,10,32
128,1,1,6,18,54
136,4,4,6,27,40
129,2,6,2,53,72
130,2,6,1,51,79
133,4,6,1,46,74
134,4,1,2,74,86
135,6,1,6,74,104
137,3,1,6,119,143
138,5,1,6,115,139
139,3,4,5,9,17
141,6,6,1,18,51
140,1,3,1,37,55
145,6,2,5,51,72
144,2,3,6,64,84
143,3,6,5,85,94
146,1,6,1,77,111
147,6,2,1,96,107
148,4,4,6,12,25
149,3,6,5,26,34
152,3,1,2,46,56
151,4,1,5,47,74
150,6,2,6,59,84
155,5,1,3,93,112
153,2,2,3,107,117
154,5,2,5,121,137
156,3,2,5,12,33
158,6,2,6,9,39
159,2,1,2,58,67
157,4,1,3,59,77
160,2,4,5,82,90
164,2,1,2,12,23
165,3,1,3,11,30
161,2,1,5,15,45
163,3,1,6,12,50
168,1,6,5,44,52
162,4,2,1,74,84
167,3,1,2,78,88
166,6,1,4,79,101
170,6,1,3,109,123
169,2,1,4,109,131
172,5,5,1,6,25
171,3,2,6,33,50
173,5,1,3,18,37
174,2,1,4,14,41
181,2,1,5,4,39
177,5,6,1,53,88
178,3,6,1,53,88
175,2,2,1,80,91
176,4,2,6,97,116
179,6,6,1,116,143
180,6,4,3,154,164
187,2,5,6,4,12
182,1,6,1,21,49
184,4,6,1,16,44
186,2,2,1,31,41
185,3,1,2,43,54
183,4,1,3,46,67
189,3,1,4,42,71
188,6,2,4,82,95
190,3,3,1,6,25
193,6,2,1,6,17
191,5,1,2,24,35
196,4,1,3,11,33
198,6,2,5,20,42
195,3,5,6,48,56
192,1,5,3,71,82
194,2,3,2,80,88
197,5,1,2,89,99
199,1,1,2,84,94
200,2,4,6,9,20
203,1,1,2,32,43
201,5,1,3,37,59
204,4,1,3,29,51
205,2,4,6,57,68
206,1,1,5,88,110
202,3,2,6,103,125
207,1,6,5,3,11
208,2,6,1,15,35
209,4,6,1,18,48
210,2,6,1,18,48
211,4,3,1,29,44
212,2,4,6,58,69
214,3,1,2,17,27
215,1,1,5,15,40
213,4,1,6,18,52
217,1,1,6,15,48
221,3,6,1,43,74
220,3,5,1,54,77
216,6,2,3,89,100
222,2,2,4,81,100
218,5,2,1,117,129
219,3,2,1,117,129
223,1,1,4,3,17
224,1,5,6,21,29
228,4,6,1,22,44
226,3,1,2,49,59
225,1,1,4,51,72
227,5,1,5,48,78
230,3,6,1,6,36
232,3,6,1,2,32
234,4,2,1,15,27
233,2,1,2,31,41
231,3,1,3,35,53
229,4,1,6,37,70
236,3,3,1,12,23
235,1,1,3,24,35
237,5,3,1,3,23
240,4,2,1,7,18
244,4,1,4,6,28
239,6,4,5,43,53
241,3,1,6,18,60
242,1,3,6,27,56
238,1,5,3,71,82
243,3,3,1,72,83
246,2,6,3,16,42
251,1,5,2,18,43
245,5,6,1,18,63
249,2,6,1,11,56
252,4,1,2,51,61
247,5,3,5,80,93
254,3,5,6,77,85
253,5,6,2,89,118
250,1,4,2,110,127
248,5,3,1,139,152
255,5,2,6,6,25
257,4,2,1,38,48
256,2,1,2,50,59
258,3,1,3,47,64
259,2,2,6,6,30
260,4,5,6,20,30
262,2,5,3,34,45
261,3,1,3,58,71
263,5,1,6,55,83
265,4,1,2,18,29
264,4,1,6,18,47
269,2,1,2,12,22
270,1,1,5,9,33
266,2,1,6,18,51
267,2,1,6,18,51
268,1,3,2,67,75
274,6,5,1,40,69
271,5,1,5,76,99
272,2,1,5,75,98
273,3,1,5,71,94
275,6,3,1,9,22
276,1,1,2,21,29
277,3,5,2,41,55
278,3,4,1,9,27
279,5,4,1,5,23
280,4,1,6,24,46
281,3,6,5,45,54
283,2,6,1,40,69
282,3,5,1,52,71
284,1,5,1,50,69
285,1,5,6,15,23
293,3,6,1,5,39
290,5,3,1,28,48
287,2,2,1,43,54
288,2,1,3,51,67
289,6,3,5,66,84
286,3,2,6,63,98
291,3,4,5,119,127
292,6,2,6,103,132
294,6,1,5,18,37
299,2,6,2,41,64
295,4,5,1,51,75
296,5,1,2,76,88
297,3,1,2,75,87
300,5,1,2,91,102
298,4,1,5,95,121
301,5,1,2,15,28
303,2,1,2,13,26
306,3,1,6,7,41
304,4,2,6,24,44
302,3,3,2,61,73
305,5,3,2,57,69
307,6,1,3,75,90
308,4,1,5,73,100
309,2,4,5,6,14
311,6,5,2,10,26
310,3,1,6,38,58
312,5,4,6,9,29
313,4,4,6,6,26
318,4,6,3,17,35
319,1,6,2,13,40
316,5,6,1,17,54
320,3,3,1,32,50
314,4,1,5,62,87
315,4,1,6,59,94
321,2,4,6,63,82
322,4,3,1,94,107
317,5,5,6,134,144
323,6,6,1,3,31
325,2,2,1,18,28
326,2,1,2,27,37
327,6,1,5,24,55
324,2,4,5,50,60
328,5,6,3,60,76
329,1,3,6,3,17
331,4,6,1,13,40
332,2,2,1,30,39
330,2,2,3,50,58
333,2,3,1,3,14
